game,price,link,release_date,game_type,image
ENDER LILIES: Quietus of the Knights,฿214.50,https://store.steampowered.com/app/1369630/ENDER_LILIES_Quietus_of_the_Knights/?snr=1_7_7_240_150_1,"21 Jun, 2021",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/1369630/header.jpg?t=1661841775
Hollow Knight,฿315.00,https://store.steampowered.com/app/367520/Hollow_Knight/?snr=1_7_7_240_150_1,"24 Feb, 2017",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/367520/header.jpg?t=1667006028
STAR WARS Jedi: Fallen Order™,"฿1,099.00",https://store.steampowered.com/app/1172380/STAR_WARS_Jedi_Fallen_Order/?snr=1_7_7_240_150_1,"14 Nov, 2019",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/1172380/header.jpg?t=1651767465
Dead Cells,฿389.00,https://store.steampowered.com/app/588650/Dead_Cells/?snr=1_7_7_240_150_1,"6 Aug, 2018",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/588650/header.jpg?t=1665137249
ASTLIBRA Revision,฿319.00,https://store.steampowered.com/app/1718570/ASTLIBRA_Revision/?snr=1_7_7_240_150_1,"13 Oct, 2022",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/1718570/header.jpg?t=1667377554
Ghost Song,฿289.00,https://store.steampowered.com/app/347800/Ghost_Song/?snr=1_7_7_240_150_1,"3 Nov, 2022",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/347800/header.jpg?t=1667490869
CARRION,฿289.00,https://store.steampowered.com/app/953490/CARRION/?snr=1_7_7_240_150_1,"23 Jul, 2020",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/953490/header.jpg?t=1667025245
Asterigos: Curse of the Stars,฿799.00,https://store.steampowered.com/app/1731070/Asterigos_Curse_of_the_Stars/?snr=1_7_7_240_150_1,"11 Oct, 2022",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/1731070/header.jpg?t=1665516879
Have a Nice Death,฿252.00,https://store.steampowered.com/app/1740720/Have_a_Nice_Death/?snr=1_7_7_240_150_1,"8 Mar, 2022",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/1740720/header.jpg?t=1666858309
Control Ultimate Edition,"฿1,190.00",https://store.steampowered.com/app/870780/Control_Ultimate_Edition/?snr=1_7_7_240_150_1,"27 Aug, 2020",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/870780/header.jpg?t=1655979558
Moonscars,฿289.00,https://store.steampowered.com/app/1374970/Moonscars/?snr=1_7_7_240_150_1,"27 Sep, 2022",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/1374970/header.jpg?t=1664319069
Ori and the Will of the Wisps,฿379.00,https://store.steampowered.com/app/1057090/Ori_and_the_Will_of_the_Wisps/?snr=1_7_7_240_150_1,"10 Mar, 2020",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/1057090/header.jpg?t=1667504225
TUNIC,฿379.00,https://store.steampowered.com/app/553420/TUNIC/?snr=1_7_7_240_150_1,"16 Mar, 2022",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/553420/header.jpg?t=1649107473
Bloodstained: Ritual of the Night,"฿1,250.00",https://store.steampowered.com/app/692850/Bloodstained_Ritual_of_the_Night/?snr=1_7_7_240_150_1,"18 Jun, 2019",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/692850/header.jpg?t=1661299121
Ori and the Blind Forest,,https://store.steampowered.com/app/261570/Ori_and_the_Blind_Forest/?snr=1_7_7_240_150_1,"10 Mar, 2015",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/261570/header.jpg?t=1667504148
Skul: The Hero Slayer,฿289.00,https://store.steampowered.com/app/1147560/Skul_The_Hero_Slayer/?snr=1_7_7_240_150_1,"20 Jan, 2021",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/1147560/header.jpg?t=1656292935
Rain World,฿369.00,https://store.steampowered.com/app/312520/Rain_World/?snr=1_7_7_240_150_1,"28 Mar, 2017",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/312520/header.jpg?t=1665761799
Blasphemous,฿490.00,https://store.steampowered.com/app/774361/Blasphemous/?snr=1_7_7_240_150_1,"10 Sep, 2019",Metroidvania,https://cdn.cloudflare.steamstatic.com/steam/apps/774361/header.jpg?t=1660838704
