game,price,link,release_date,game_type,image
Grand Theft Auto V,,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V/?snr=1_7_7_240_150_1,"13 Apr, 2015",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/271590/header.jpg?t=1667343890
NARAKA: BLADEPOINT,499.00,https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT/?snr=1_7_7_240_150_1,"11 Aug, 2021",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/1203220/header.jpg?t=1667553391
Resident Evil Village,1289.00,https://store.steampowered.com/app/1196590/Resident_Evil_Village/?snr=1_7_7_240_150_1,"7 May, 2021",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/1196590/header.jpg?t=1666936638
Coral Island,449.00,https://store.steampowered.com/app/1158160/Coral_Island/?snr=1_7_7_240_150_1,"11 Oct, 2022",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/1158160/header.jpg?t=1665556402
New World,274.50,https://store.steampowered.com/app/1063730/New_World/?snr=1_7_7_240_150_1,"28 Sep, 2021",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/1063730/header.jpg?t=1666108453
The Sims™ 4,0,https://store.steampowered.com/app/1222670/The_Sims_4/?snr=1_7_7_240_150_1,"18 Jun, 2020",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/1222670/header.jpg?t=1666819875
Marvel’s Spider-Man Remastered,1690.00,https://store.steampowered.com/app/1817070/Marvels_SpiderMan_Remastered/?snr=1_7_7_240_150_1,"12 Aug, 2022",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/1817070/header.jpg?t=1667406675
Raft,369.00,https://store.steampowered.com/app/648800/Raft/?snr=1_7_7_240_150_1,"20 Jun, 2022",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/648800/header.jpg?t=1655744208
Persona 5 Royal,1915.00,https://store.steampowered.com/app/1687950/Persona_5_Royal/?snr=1_7_7_240_150_1,"20 Oct, 2022",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/1687950/header.jpg?t=1666698742
Black Desert,200.00,https://store.steampowered.com/app/582660/Black_Desert/?snr=1_7_7_240_150_1,"17 Sep, 2019",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/582660/header.jpg?t=1667552581
God of War,1290.00,https://store.steampowered.com/app/1593500/God_of_War/?snr=1_7_7_240_150_1,"14 Jan, 2022",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/1593500/header.jpg?t=1650554420
Mount & Blade II: Bannerlord,1199.20,https://store.steampowered.com/app/261550/Mount__Blade_II_Bannerlord/?snr=1_7_7_240_150_1,"25 Oct, 2022",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/261550/header.jpg?t=1666722041
Green Hell,223.30,https://store.steampowered.com/app/815370/Green_Hell/?snr=1_7_7_240_150_1,"5 Sep, 2019",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/815370/header.jpg?t=1659627205
Rust,699.00,https://store.steampowered.com/app/252490/Rust/?snr=1_7_7_240_150_1,"8 Feb, 2018",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/252490/header.jpg?t=1666865208
Grounded,1249.00,https://store.steampowered.com/app/962130/Grounded/?snr=1_7_7_240_150_1,"27 Sep, 2022",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/962130/header.jpg?t=1664324694
Terraria,219.00,https://store.steampowered.com/app/105600/Terraria/?snr=1_7_7_240_150_1,"16 May, 2011",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/105600/header.jpg?t=1666290860
Red Dead Redemption 2,1599.00,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/?snr=1_7_7_240_150_1,"5 Dec, 2019",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/1174180/header.jpg?t=1656615305
Sea of Thieves,469.00,https://store.steampowered.com/app/1172620/Sea_of_Thieves/?snr=1_7_7_240_150_1,"3 Jun, 2020",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/1172620/header.jpg?t=1667516027
ARK: Survival Evolved,289.00,https://store.steampowered.com/app/346110/ARK_Survival_Evolved/?snr=1_7_7_240_150_1,"27 Aug, 2017",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/346110/header.jpg?t=1667429152
Forza Horizon 5,1899.00,https://store.steampowered.com/app/1551360/Forza_Horizon_5/?snr=1_7_7_240_150_1,"8 Nov, 2021",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/1551360/header.jpg?t=1665784964
Project Zomboid,289.00,https://store.steampowered.com/app/108600/Project_Zomboid/?snr=1_7_7_240_150_1,"8 Nov, 2013",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/108600/header.jpg?t=1664904563
Cyberpunk 2077,1799.00,https://store.steampowered.com/app/1091500/Cyberpunk_2077/?snr=1_7_7_240_150_1,"9 Dec, 2020",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/1091500/header.jpg?t=1663663573
Destiny 2,0,https://store.steampowered.com/app/1085660/Destiny_2/?snr=1_7_7_240_150_1,"1 Oct, 2019",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/1085660/header.jpg?t=1661876523
Tiny Tina's Wonderlands,894.00,https://store.steampowered.com/app/1286680/Tiny_Tinas_Wonderlands/?snr=1_7_7_240_150_1,"23 Jun, 2022",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/1286680/header.jpg?t=1660273090
The Forest,289.00,https://store.steampowered.com/app/242760/The_Forest/?snr=1_7_7_240_150_1,"30 Apr, 2018",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/242760/header.jpg?t=1666811027
STAR WARS™ Battlefront™ II,164.85,https://store.steampowered.com/app/1237950/STAR_WARS_Battlefront_II/?snr=1_7_7_240_150_1,"11 Jun, 2020",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/1237950/header.jpg?t=1651767512
Warhammer: Vermintide 2,0,https://store.steampowered.com/app/552500/Warhammer_Vermintide_2/?snr=1_7_7_240_150_1,"8 Mar, 2018",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/552500/header.jpg?t=1667588113
Guild Wars 2,0,https://store.steampowered.com/app/1284210/Guild_Wars_2/?snr=1_7_7_240_150_1,"23 Aug, 2022",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/1284210/header.jpg?t=1662078090
V Rising,231.20,https://store.steampowered.com/app/1604030/V_Rising/?snr=1_7_7_240_150_1,"17 May, 2022",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/1604030/header.jpg?t=1666870061
Microsoft Flight Simulator Game of the Year Edition,2099.00,https://store.steampowered.com/app/1250410/Microsoft_Flight_Simulator_Game_of_the_Year_Edition/?snr=1_7_7_240_150_1,"17 Apr, 2020",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/1250410/header.jpg?t=1661185064
theHunter: Call of the Wild™,289.00,https://store.steampowered.com/app/518790/theHunter_Call_of_the_Wild/?snr=1_7_7_240_150_1,"16 Feb, 2017",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/518790/header.jpg?t=1656406952
Garry's Mod,219.00,https://store.steampowered.com/app/4000/Garrys_Mod/?snr=1_7_7_240_150_1,"29 Nov, 2006",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/4000/header.jpg?t=1663621793
Don't Starve Together,239.00,https://store.steampowered.com/app/322330/Dont_Starve_Together/?snr=1_7_7_240_150_1,"21 Apr, 2016",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/322330/header.jpg?t=1666284006
SCUM,502.00,https://store.steampowered.com/app/513710/SCUM/?snr=1_7_7_240_150_1,"29 Aug, 2018",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/513710/header.jpg?t=1665476959
UNCHARTED™: Legacy of Thieves Collection,1290.00,https://store.steampowered.com/app/1659420/UNCHARTED_Legacy_of_Thieves_Collection/?snr=1_7_7_240_150_1,"19 Oct, 2022",Adventure,https://cdn.cloudflare.steamstatic.com/steam/apps/1659420/header.jpg?t=1666804146
