game,price,link,release_date,game_type,image
God of War,"฿1,032.00",https://store.steampowered.com/app/1593500/God_of_War/?snr=1_7_7_240_150_1,"14 Jan, 2022",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1593500/capsule_sm_120.jpg?t=1650554420
ELDEN RING,"฿1,490.00",https://store.steampowered.com/app/1245620/ELDEN_RING/?snr=1_7_7_240_150_1,"24 Feb, 2022",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1245620/capsule_sm_120.jpg?t=1666286418
STAR WARS Jedi: Fallen Order™,฿219.80,https://store.steampowered.com/app/1172380/STAR_WARS_Jedi_Fallen_Order/?snr=1_7_7_240_150_1,"14 Nov, 2019",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1172380/capsule_sm_120.jpg?t=1651767465
MONSTER HUNTER RISE,"฿1,289.00",https://store.steampowered.com/app/1446780/MONSTER_HUNTER_RISE/?snr=1_7_7_240_150_1,"12 Jan, 2022",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1446780/capsule_sm_120.jpg?t=1664761827
Nioh 2 – The Complete Edition,฿954.00,https://store.steampowered.com/app/1325200/Nioh_2__The_Complete_Edition/?snr=1_7_7_240_150_1,"5 Feb, 2021",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1325200/capsule_sm_120.jpg?t=1661763641
Sekiro™: Shadows Die Twice - GOTY Edition,"฿1,790.00",https://store.steampowered.com/app/814380/Sekiro_Shadows_Die_Twice__GOTY_Edition/?snr=1_7_7_240_150_1,"21 Mar, 2019",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/814380/capsule_sm_120.jpg?t=1603904569
Hollow Knight,฿157.50,https://store.steampowered.com/app/367520/Hollow_Knight/?snr=1_7_7_240_150_1,"24 Feb, 2017",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/367520/capsule_sm_120.jpg?t=1667006028
New World,฿549.00,https://store.steampowered.com/app/1063730/New_World/?snr=1_7_7_240_150_1,"28 Sep, 2021",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1063730/capsule_sm_120.jpg?t=1666108453
Monster Hunter: World,฿739.00,https://store.steampowered.com/app/582010/Monster_Hunter_World/?snr=1_7_7_240_150_1,"9 Aug, 2018",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/582010/capsule_sm_120.jpg?t=1661838392
ENDER LILIES: Quietus of the Knights,฿214.50,https://store.steampowered.com/app/1369630/ENDER_LILIES_Quietus_of_the_Knights/?snr=1_7_7_240_150_1,"21 Jun, 2021",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1369630/capsule_sm_120.jpg?t=1661841775
Kena: Bridge of Spirits,฿469.00,https://store.steampowered.com/app/1954200/Kena_Bridge_of_Spirits/?snr=1_7_7_240_150_1,"26 Sep, 2022",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1954200/capsule_sm_120.jpg?t=1664298117
Thymesia,฿600.00,https://store.steampowered.com/app/1343240/Thymesia/?snr=1_7_7_240_150_1,"18 Aug, 2022",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1343240/capsule_sm_120.jpg?t=1666710231
Remnant: From the Ashes,฿279.60,https://store.steampowered.com/app/617290/Remnant_From_the_Ashes/?snr=1_7_7_240_150_1,"19 Aug, 2019",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/617290/capsule_sm_120.jpg?t=1629392689
Trombone Champ,฿239.00,https://store.steampowered.com/app/1059990/Trombone_Champ/?snr=1_7_7_240_150_1,"15 Sep, 2022",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1059990/capsule_sm_120.jpg?t=1663352178
DARK SOULS™ III,"฿1,500.00",https://store.steampowered.com/app/374320/DARK_SOULS_III/?snr=1_7_7_240_150_1,"11 Apr, 2016",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/374320/capsule_sm_120.jpg?t=1661484182
Dead Cells,฿389.00,https://store.steampowered.com/app/588650/Dead_Cells/?snr=1_7_7_240_150_1,"6 Aug, 2018",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/588650/capsule_sm_120.jpg?t=1665137249
CODE VEIN,"฿1,390.00",https://store.steampowered.com/app/678960/CODE_VEIN/?snr=1_7_7_240_150_1,"26 Sep, 2019",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/678960/capsule_sm_120.jpg?t=1659975056
Blasphemous,฿122.50,https://store.steampowered.com/app/774361/Blasphemous/?snr=1_7_7_240_150_1,"10 Sep, 2019",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/774361/capsule_sm_120.jpg?t=1660838704
PICO PARK,฿99.00,https://store.steampowered.com/app/1509960/PICO_PARK/?snr=1_7_7_240_150_1,"7 May, 2021",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1509960/capsule_sm_120.jpg?t=1627200665
Ori and the Will of the Wisps,฿125.07,https://store.steampowered.com/app/1057090/Ori_and_the_Will_of_the_Wisps/?snr=1_7_7_240_150_1,"10 Mar, 2020",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1057090/capsule_sm_120.jpg?t=1612897638
DARK SOULS™: REMASTERED,"฿1,290.00",https://store.steampowered.com/app/570940/DARK_SOULS_REMASTERED/?snr=1_7_7_240_150_1,"23 May, 2018",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/570940/capsule_sm_120.jpg?t=1660140230
Asterigos: Curse of the Stars,฿799.00,https://store.steampowered.com/app/1731070/Asterigos_Curse_of_the_Stars/?snr=1_7_7_240_150_1,"11 Oct, 2022",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1731070/capsule_sm_120.jpg?t=1665516879
OUTRIDERS,฿640.00,https://store.steampowered.com/app/680420/OUTRIDERS/?snr=1_7_7_240_150_1,"1 Apr, 2021",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/680420/capsule_sm_120.jpg?t=1657806851
LEGO® Star Wars™: The Skywalker Saga,"฿1,320.00",https://store.steampowered.com/app/920210/LEGO_Star_Wars_The_Skywalker_Saga/?snr=1_7_7_240_150_1,"5 Apr, 2022",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/920210/capsule_sm_120.jpg?t=1665155737
Vampyr,฿178.00,https://store.steampowered.com/app/427290/Vampyr/?snr=1_7_7_240_150_1,"4 Jun, 2018",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/427290/capsule_sm_120.jpg?t=1651049845
Steelrising,฿949.00,https://store.steampowered.com/app/1283400/Steelrising/?snr=1_7_7_240_150_1,"8 Sep, 2022",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1283400/capsule_sm_120.jpg?t=1665480017
Weird RPG,฿199.00,https://store.steampowered.com/app/1902710/Weird_RPG/?snr=1_7_7_240_150_1,"30 Sep, 2022",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1902710/capsule_sm_120.jpg?t=1666432213
Little Witch Nobeta,฿399.00,https://store.steampowered.com/app/1049890/Little_Witch_Nobeta/?snr=1_7_7_240_150_1,"28 Sep, 2022",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1049890/capsule_sm_120.jpg?t=1664433889
The Surge 2,฿162.50,https://store.steampowered.com/app/644830/The_Surge_2/?snr=1_7_7_240_150_1,"23 Sep, 2019",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/644830/capsule_sm_120.jpg?t=1663148861
Hatsune Miku: Project DIVA Mega Mix+,"฿1,190.00",https://store.steampowered.com/app/1761390/Hatsune_Miku_Project_DIVA_Mega_Mix/?snr=1_7_7_240_150_1,"26 May, 2022",Souls-like,https://cdn.cloudflare.steamstatic.com/steam/apps/1761390/capsule_sm_120.jpg?t=1665412251
